Date,Open,High,Low,Close
03/08/2022,"37,873","39,372","37,823","38,545"
03/07/2022,"38,994","39,534","37,187","37,873"
03/06/2022,"39,378","39,660","38,144","38,994"
03/05/2022,"39,410","39,583","38,641","39,396"
03/04/2022,"42,117","42,659","39,106","39,410"
03/03/2022,"43,950","44,224","41,848","42,127"
03/02/2022,"43,899","45,309","43,372","43,950"
03/01/2022,"41,650","44,957","41,650","43,870"
02/28/2022,"37,440","41,928","37,428","41,650"
02/27/2022,"39,479","39,834","37,063","37,461"
02/26/2022,"38,992","40,081","38,661","39,479"
02/25/2022,"38,396","39,681","37,801","39,009"
02/24/2022,"37,521","39,136","34,413","38,396"
02/23/2022,"37,913","39,214","37,441","37,571"
02/22/2022,"37,018","38,269","36,420","37,913"
02/21/2022,"38,249","39,464","37,193","37,193"
02/20/2022,"39,936","40,152","38,037","38,249"
02/19/2022,"39,996","40,467","39,690","39,936"
02/18/2022,"40,708","40,964","39,622","39,996"
02/17/2022,"44,091","44,181","40,128","40,708"
02/16/2022,"44,007","44,741","43,415","44,091"
02/15/2022,"42,257","44,512","42,243","44,007"
02/14/2022,"42,259","42,843","41,646","42,257"
02/13/2022,"41,910","42,743","41,889","42,259"
02/12/2022,"42,561","43,025","41,816","41,910"
02/11/2022,"43,753","44,113","42,253","42,561"
02/10/2022,"44,502","45,758","43,350","43,753"
02/09/2022,"44,264","44,837","43,202","44,502"
02/08/2022,"44,050","45,403","42,727","44,264"
02/07/2022,"41,693","44,495","41,609","44,050"
02/06/2022,"41,670","42,094","41,229","41,693"
02/05/2022,"40,647","41,919","40,410","41,718"
02/04/2022,"36,967","40,890","36,833","40,647"
02/03/2022,"36,877","37,220","36,279","36,964"
02/02/2022,"38,741","38,900","36,686","36,877"
02/01/2022,"38,444","39,261","38,051","38,741"
01/31/2022,"37,747","38,728","36,703","38,444"
01/30/2022,"38,437","38,437","37,411","37,747"
01/29/2022,"37,818","38,673","37,362","38,437"
01/28/2022,"36,223","38,009","35,934","37,818"
01/27/2022,"36,371","37,168","35,551","36,223"
01/26/2022,"36,632","38,874","36,371","36,371"
01/25/2022,"36,851","37,501","35,741","36,632"
01/24/2022,"35,379","37,397","33,070","36,851"
01/23/2022,"35,461","36,157","34,694","35,389"
01/22/2022,"36,701","37,149","34,163","35,461"
01/21/2022,"41,391","41,524","36,208","36,689"
01/20/2022,"41,733","43,517","41,389","41,391"
01/19/2022,"42,401","42,604","41,200","41,739"
01/18/2022,"41,741","42,476","41,319","42,401"
01/17/2022,"43,011","43,275","41,632","41,741"
01/16/2022,"43,332","43,472","42,622","43,011"
01/15/2022,"43,329","43,775","42,620","43,346"
01/14/2022,"42,826","43,411","41,865","43,329"
01/13/2022,"43,815","44,401","42,354","42,826"
01/12/2022,"42,686","44,303","42,498","43,815"
01/11/2022,"41,705","43,109","41,304","42,686"
01/10/2022,"42,314","42,484","39,712","41,705"
01/09/2022,"41,786","42,771","41,285","42,334"
01/08/2022,"41,884","42,206","40,614","41,786"
01/07/2022,"43,114","43,233","40,769","41,908"
01/06/2022,"43,658","43,764","42,529","43,114"
01/05/2022,"46,298","46,851","43,522","43,658"
01/04/2022,"46,055","47,490","45,586","46,298"
01/03/2022,"47,026","47,544","45,745","46,055"
